settlement_id,settlement_name,ward_name,lga_name,name_point_id,name_assignment_method,name_assignment_distance_m,name_validation_status,evidence_grade
SET_SET_428,Sukeme Gbene,Ward_78,Sagbama,SETNAME_12025462,Nearest GRID3 settlement-name point in same ward,4977.345424,Nearest-name assignment; manual review required,E0
SET_SET_335,Pouta Gbene,Ward_60,Sagbama,SETNAME_12210359,Nearest GRID3 settlement-name point in same ward,4387.709418,Nearest-name assignment; manual review required,E0
SET_SET_421,Tubolayefa Gbene,Ward_78,Sagbama,SETNAME_11999928,Nearest GRID3 settlement-name point in same ward,4378.149516,Nearest-name assignment; manual review required,E0
SET_SET_1567,Ebiama Zion,Ward_34,Ekeremor,SETNAME_12236618,Nearest GRID3 settlement-name point in same ward,4296.319527,Nearest-name assignment; manual review required,E0
SET_SET_138,Sukeme Gbene,Ward_78,Sagbama,SETNAME_12025462,Nearest GRID3 settlement-name point in same ward,4251.886337,Nearest-name assignment; manual review required,E0
SET_SET_1747,Ayama Ebene,Ward_96,Sagbama,SETNAME_12133116,Nearest GRID3 settlement-name point in same ward,4240.577205,Nearest-name assignment; manual review required,E0
SET_SET_2173,Alesegbene,Ward_25,Ekeremor,SETNAME_12233612,Nearest GRID3 settlement-name point in same ward,4233.680494,Nearest-name assignment; manual review required,E0
SET_SET_208,Erifador Gbene Ii,Ward_86,Sagbama,SETNAME_12087815,Nearest GRID3 settlement-name point in same ward,4223.586275,Nearest-name assignment; manual review required,E0
SET_SET_2473,Bouperegha Gbene,Ward_25,Ekeremor,SETNAME_12220689,Nearest GRID3 settlement-name point in same ward,4198.805795,Nearest-name assignment; manual review required,E0
SET_SET_2497,Odorubo,Ward_65,Sagbama,SETNAME_12160388,Nearest GRID3 settlement-name point in same ward,4159.491251,Nearest-name assignment; manual review required,E0
SET_SET_1687,Aleibiri,Ward_29,Ekeremor,SETNAME_12069586,Nearest GRID3 settlement-name point in same ward,3997.695156,Nearest-name assignment; manual review required,E0
SET_SET_1684,Aleibiri,Ward_29,Ekeremor,SETNAME_12069586,Nearest GRID3 settlement-name point in same ward,3960.416314,Nearest-name assignment; manual review required,E0
SET_SET_452,Akpoebie James Camp,Ward_97,Sagbama,SETNAME_12026775,Nearest GRID3 settlement-name point in same ward,3936.950472,Nearest-name assignment; manual review required,E0
SET_SET_330,Pouta Gbene,Ward_60,Sagbama,SETNAME_12210359,Nearest GRID3 settlement-name point in same ward,3903.038131,Nearest-name assignment; manual review required,E0
SET_SET_466,Odorubo,Ward_65,Sagbama,SETNAME_12160388,Nearest GRID3 settlement-name point in same ward,3892.718666,Nearest-name assignment; manual review required,E0
SET_SET_1580,Brimola Gbene I,Ward_23,Ekeremor,SETNAME_12083795,Nearest GRID3 settlement-name point in same ward,3857.152724,Nearest-name assignment; manual review required,E0
SET_SET_416,Oruseri Gha Gbene,Ward_64,Sagbama,SETNAME_12279854,Nearest GRID3 settlement-name point in same ward,3849.580479,Nearest-name assignment; manual review required,E0
SET_SET_1909,Paikegha Gbene,Ward_25,Ekeremor,SETNAME_12108608,Nearest GRID3 settlement-name point in same ward,3837.775343,Nearest-name assignment; manual review required,E0
SET_SET_1749,Ayama Ebene,Ward_96,Sagbama,SETNAME_12133116,Nearest GRID3 settlement-name point in same ward,3747.35507,Nearest-name assignment; manual review required,E0
SET_SET_467,Odorubo,Ward_65,Sagbama,SETNAME_12160388,Nearest GRID3 settlement-name point in same ward,3740.991173,Nearest-name assignment; manual review required,E0
SET_SET_1631,Tarela Zion,Ward_30,Ekeremor,SETNAME_12202258,Nearest GRID3 settlement-name point in same ward,3727.288963,Nearest-name assignment; manual review required,E0
SET_SET_1642,Ebipade Gbene,Ward_30,Ekeremor,SETNAME_12152792,Nearest GRID3 settlement-name point in same ward,3714.125003,Nearest-name assignment; manual review required,E0
SET_SET_1685,Aleibiri,Ward_29,Ekeremor,SETNAME_12069586,Nearest GRID3 settlement-name point in same ward,3678.093452,Nearest-name assignment; manual review required,E0
SET_SET_2137,Gbagha Enikpoene,Ward_30,Ekeremor,SETNAME_12090568,Nearest GRID3 settlement-name point in same ward,3651.572953,Nearest-name assignment; manual review required,E0
SET_SET_101,Sukeme Gbene,Ward_78,Sagbama,SETNAME_12025462,Nearest GRID3 settlement-name point in same ward,3633.806028,Nearest-name assignment; manual review required,E0
SET_SET_329,Pouta Gbene,Ward_60,Sagbama,SETNAME_12210359,Nearest GRID3 settlement-name point in same ward,3583.300859,Nearest-name assignment; manual review required,E0
SET_SET_468,Odorubo,Ward_65,Sagbama,SETNAME_12160388,Nearest GRID3 settlement-name point in same ward,3566.357371,Nearest-name assignment; manual review required,E0
SET_SET_1863,Oniyegbene,Ward_25,Ekeremor,SETNAME_12191111,Nearest GRID3 settlement-name point in same ward,3523.116045,Nearest-name assignment; manual review required,E0
SET_SET_2382,Abicon Gbene,Ward_25,Ekeremor,SETNAME_12238052,Nearest GRID3 settlement-name point in same ward,3508.289445,Nearest-name assignment; manual review required,E0
SET_SET_215,Yeri Farm Camp,Ward_86,Sagbama,SETNAME_12214844,Nearest GRID3 settlement-name point in same ward,3495.845468,Nearest-name assignment; manual review required,E0
SET_SET_2380,Lagos Gbene,Ward_5,Ekeremor,SETNAME_12067478,Nearest GRID3 settlement-name point in same ward,3485.666659,Nearest-name assignment; manual review required,E0
SET_SET_327,Pouta Gbene,Ward_60,Sagbama,SETNAME_12210359,Nearest GRID3 settlement-name point in same ward,3463.163215,Nearest-name assignment; manual review required,E0
SET_SET_2279,Benbiri New Year,Ward_25,Ekeremor,SETNAME_12017837,Nearest GRID3 settlement-name point in same ward,3456.181341,Nearest-name assignment; manual review required,E0
SET_SET_332,Aban Gbene,Ward_60,Sagbama,SETNAME_12017924,Nearest GRID3 settlement-name point in same ward,3436.474926,Nearest-name assignment; manual review required,E0
SET_SET_2133,Gbagha Enikpoene,Ward_30,Ekeremor,SETNAME_12090568,Nearest GRID3 settlement-name point in same ward,3424.686462,Nearest-name assignment; manual review required,E0
SET_SET_71,Denis Camp,Ward_86,Sagbama,SETNAME_12066666,Nearest GRID3 settlement-name point in same ward,3423.553327,Nearest-name assignment; manual review required,E0
SET_SET_322,Apeis Gbene,Ward_57,Sagbama,SETNAME_12225627,Nearest GRID3 settlement-name point in same ward,3419.703774,Nearest-name assignment; manual review required,E0
SET_SET_1810,Atasisi Gbene Tubu,Ward_25,Ekeremor,SETNAME_12119315,Nearest GRID3 settlement-name point in same ward,3409.191925,Nearest-name assignment; manual review required,E0
SET_SET_326,Pouta Gbene,Ward_60,Sagbama,SETNAME_12210359,Nearest GRID3 settlement-name point in same ward,3408.4327,Nearest-name assignment; manual review required,E0
SET_SET_1757,Bulou Adagbabiri,Ward_34,Ekeremor,SETNAME_12174401,Nearest GRID3 settlement-name point in same ward,3404.185784,Nearest-name assignment; manual review required,E0
SET_SET_2286,Dinefieama Gbene,Ward_25,Ekeremor,SETNAME_12152141,Nearest GRID3 settlement-name point in same ward,3399.345816,Nearest-name assignment; manual review required,E0
SET_SET_331,Pouta Gbene,Ward_60,Sagbama,SETNAME_12210359,Nearest GRID3 settlement-name point in same ward,3371.154576,Nearest-name assignment; manual review required,E0
SET_SET_2139,Gbagha Enikpoene,Ward_30,Ekeremor,SETNAME_12090568,Nearest GRID3 settlement-name point in same ward,3366.304802,Nearest-name assignment; manual review required,E0
SET_SET_1908,Oniyegbene,Ward_25,Ekeremor,SETNAME_12191111,Nearest GRID3 settlement-name point in same ward,3330.923204,Nearest-name assignment; manual review required,E0
SET_SET_453,Akpoebie James Camp,Ward_97,Sagbama,SETNAME_12026775,Nearest GRID3 settlement-name point in same ward,3320.657745,Nearest-name assignment; manual review required,E0
SET_SET_13,Ayanmapou,Ward_86,Sagbama,SETNAME_12083220,Nearest GRID3 settlement-name point in same ward,3316.71535,Nearest-name assignment; manual review required,E0
SET_SET_1753,Bolouama Gbene,Ward_96,Sagbama,SETNAME_12070865,Nearest GRID3 settlement-name point in same ward,3280.546255,Nearest-name assignment; manual review required,E0
SET_SET_2489,Ebipade Gbene,Ward_30,Ekeremor,SETNAME_12152792,Nearest GRID3 settlement-name point in same ward,3269.736111,Nearest-name assignment; manual review required,E0
SET_SET_1170,Apeis Gbene,Ward_57,Sagbama,SETNAME_12225627,Nearest GRID3 settlement-name point in same ward,3267.718306,Nearest-name assignment; manual review required,E0
SET_SET_1090,Tungbabiri,Ward_93,Sagbama,SETNAME_12254637,Nearest GRID3 settlement-name point in same ward,3263.600983,Nearest-name assignment; manual review required,E0
SET_SET_1671,Ebiama Zion,Ward_34,Ekeremor,SETNAME_12236618,Nearest GRID3 settlement-name point in same ward,3250.979172,Nearest-name assignment; manual review required,E0
SET_SET_12,Ayanmapou,Ward_86,Sagbama,SETNAME_12083220,Nearest GRID3 settlement-name point in same ward,3244.471031,Nearest-name assignment; manual review required,E0
SET_SET_1864,Paikegha Gbene,Ward_25,Ekeremor,SETNAME_12108608,Nearest GRID3 settlement-name point in same ward,3216.795317,Nearest-name assignment; manual review required,E0
SET_SET_2381,Abicon Gbene,Ward_25,Ekeremor,SETNAME_12238052,Nearest GRID3 settlement-name point in same ward,3210.067752,Nearest-name assignment; manual review required,E0
SET_SET_1834,Egbemo Angalabiri,Ward_25,Ekeremor,SETNAME_12028751,Nearest GRID3 settlement-name point in same ward,3150.536837,Nearest-name assignment; manual review required,E0
SET_SET_1106,Ayama Ebene,Ward_96,Sagbama,SETNAME_12133116,Nearest GRID3 settlement-name point in same ward,3135.977208,Nearest-name assignment; manual review required,E0
SET_SET_324,Akele Gbene,Ward_57,Sagbama,SETNAME_12152173,Nearest GRID3 settlement-name point in same ward,3125.380708,Nearest-name assignment; manual review required,E0
SET_SET_2431,Atasisi Gbene Tubu,Ward_25,Ekeremor,SETNAME_12119315,Nearest GRID3 settlement-name point in same ward,3063.552994,Nearest-name assignment; manual review required,E0
SET_SET_2389,Lagos Gbene,Ward_5,Ekeremor,SETNAME_12067478,Nearest GRID3 settlement-name point in same ward,3056.20039,Nearest-name assignment; manual review required,E0
SET_SET_2,Ariware,Ward_86,Sagbama,SETNAME_12118555,Nearest GRID3 settlement-name point in same ward,3053.426601,Nearest-name assignment; manual review required,E0
SET_SET_1812,Atasisi Gbene Tubu,Ward_25,Ekeremor,SETNAME_12119315,Nearest GRID3 settlement-name point in same ward,3023.249448,Nearest-name assignment; manual review required,E0
SET_SET_2281,Dinefieama Gbene,Ward_25,Ekeremor,SETNAME_12152141,Nearest GRID3 settlement-name point in same ward,2996.548102,Nearest-name assignment; manual review required,E0
SET_SET_2162,Rechael Gbene,Ward_25,Ekeremor,SETNAME_12017379,Nearest GRID3 settlement-name point in same ward,2983.641704,Nearest-name assignment; manual review required,E0
SET_SET_229,Tubolayefa Gbene,Ward_78,Sagbama,SETNAME_11999928,Nearest GRID3 settlement-name point in same ward,2945.074117,Nearest-name assignment; manual review required,E0
SET_SET_1793,Bonukuon Gbene Ii,Ward_32,Ekeremor,SETNAME_12137292,Nearest GRID3 settlement-name point in same ward,2933.154805,Nearest-name assignment; manual review required,E0
SET_SET_1630,Tarela Zion,Ward_30,Ekeremor,SETNAME_12202258,Nearest GRID3 settlement-name point in same ward,2875.760102,Nearest-name assignment; manual review required,E0
SET_SET_148,Ogudumugudumu Camp,Ward_93,Sagbama,SETNAME_11999574,Nearest GRID3 settlement-name point in same ward,2858.740006,Nearest-name assignment; manual review required,E0
SET_SET_1743,Bulou Adagbabiri,Ward_34,Ekeremor,SETNAME_12174401,Nearest GRID3 settlement-name point in same ward,2845.397916,Nearest-name assignment; manual review required,E0
SET_SET_1579,Brimola Gbene I,Ward_23,Ekeremor,SETNAME_12083795,Nearest GRID3 settlement-name point in same ward,2818.660762,Nearest-name assignment; manual review required,E0
SET_SET_90,Sukeme Gbene,Ward_78,Sagbama,SETNAME_12025462,Nearest GRID3 settlement-name point in same ward,2812.941088,Nearest-name assignment; manual review required,E0
SET_SET_1635,Ogbotobo,Ward_25,Ekeremor,SETNAME_12081605,Nearest GRID3 settlement-name point in same ward,2782.866766,Nearest-name assignment; manual review required,E0
SET_SET_2263,Deide Central Zion,Ward_25,Ekeremor,SETNAME_12142552,Nearest GRID3 settlement-name point in same ward,2746.93898,Nearest-name assignment; manual review required,E0
SET_SET_1756,Kunou,Ward_34,Ekeremor,SETNAME_12099994,Nearest GRID3 settlement-name point in same ward,2732.785554,Nearest-name assignment; manual review required,E0
SET_SET_2461,Brimola Gbene I,Ward_23,Ekeremor,SETNAME_12083795,Nearest GRID3 settlement-name point in same ward,2719.804422,Nearest-name assignment; manual review required,E0
SET_SET_310,Pouta Gbene,Ward_60,Sagbama,SETNAME_12210359,Nearest GRID3 settlement-name point in same ward,2690.496138,Nearest-name assignment; manual review required,E0
SET_SET_1485,Korodeei Gbene,Ward_93,Sagbama,SETNAME_12142514,Nearest GRID3 settlement-name point in same ward,2690.092174,Nearest-name assignment; manual review required,E0
SET_SET_1789,Ama Igbo,Ward_25,Ekeremor,SETNAME_12149887,Nearest GRID3 settlement-name point in same ward,2679.078943,Nearest-name assignment; manual review required,E0
SET_SET_2271,Bilabiri,Ward_25,Ekeremor,SETNAME_12082729,Nearest GRID3 settlement-name point in same ward,2678.904688,Nearest-name assignment; manual review required,E0
SET_SET_1790,Binni Gbene,Ward_32,Ekeremor,SETNAME_12192638,Nearest GRID3 settlement-name point in same ward,2659.477215,Nearest-name assignment; manual review required,E0
SET_SET_1794,Bonukuon Gbene Ii,Ward_32,Ekeremor,SETNAME_12137292,Nearest GRID3 settlement-name point in same ward,2641.069588,Nearest-name assignment; manual review required,E0
SET_SET_2174,Peretoru Gbene,Ward_26,Ekeremor,SETNAME_12188058,Nearest GRID3 settlement-name point in same ward,2596.234752,Nearest-name assignment; manual review required,E0
SET_SET_1899,Kiriareyegbene I,Ward_31,Ekeremor,SETNAME_12104114,Nearest GRID3 settlement-name point in same ward,2595.026217,Nearest-name assignment; manual review required,E0
SET_SET_2429,Fefadei Gbene,Ward_25,Ekeremor,SETNAME_12111238,Nearest GRID3 settlement-name point in same ward,2576.091584,Nearest-name assignment; manual review required,E0
SET_SET_1688,Aleibiri,Ward_29,Ekeremor,SETNAME_12069586,Nearest GRID3 settlement-name point in same ward,2574.240197,Nearest-name assignment; manual review required,E0
SET_SET_1660,Ebilowei Aleibiri Ii,Ward_32,Ekeremor,SETNAME_12018971,Nearest GRID3 settlement-name point in same ward,2552.452092,Nearest-name assignment; manual review required,E0
SET_SET_375,Obuware,Ward_62,Sagbama,SETNAME_12154357,Nearest GRID3 settlement-name point in same ward,2528.569924,Nearest-name assignment; manual review required,E0
SET_SET_1636,Agbaiyama,Ward_25,Ekeremor,SETNAME_12265145,Nearest GRID3 settlement-name point in same ward,2505.47769,Nearest-name assignment; manual review required,E0
SET_SET_2138,Seikebolu Gbene,Ward_30,Ekeremor,SETNAME_12127274,Nearest GRID3 settlement-name point in same ward,2496.700616,Nearest-name assignment; manual review required,E0
SET_SET_1665,Karen Ama,Ward_32,Ekeremor,SETNAME_12043811,Nearest GRID3 settlement-name point in same ward,2483.557535,Nearest-name assignment; manual review required,E0
SET_SET_2205,Selenanabo,Ward_25,Ekeremor,SETNAME_12106314,Nearest GRID3 settlement-name point in same ward,2480.223336,Nearest-name assignment; manual review required,E0
SET_SET_1917,Olugbene,Ward_25,Ekeremor,SETNAME_12202035,Nearest GRID3 settlement-name point in same ward,2474.04583,Nearest-name assignment; manual review required,E0
SET_SET_1723,Branyo Gbene,Ward_31,Ekeremor,SETNAME_12026410,Nearest GRID3 settlement-name point in same ward,2471.322207,Nearest-name assignment; manual review required,E0
SET_SET_1666,Aleibiri,Ward_29,Ekeremor,SETNAME_12069586,Nearest GRID3 settlement-name point in same ward,2452.518217,Nearest-name assignment; manual review required,E0
SET_SET_35,Igule Okpare Camp,Ward_81,Sagbama,SETNAME_12024590,Nearest GRID3 settlement-name point in same ward,2452.223882,Nearest-name assignment; manual review required,E0
SET_SET_1751,Ayama Ebene,Ward_96,Sagbama,SETNAME_12133116,Nearest GRID3 settlement-name point in same ward,2438.048007,Nearest-name assignment; manual review required,E0
SET_SET_2178,Peretoru Gbene,Ward_26,Ekeremor,SETNAME_12188058,Nearest GRID3 settlement-name point in same ward,2434.204619,Nearest-name assignment; manual review required,E0
SET_SET_1900,Tamogbene,Ward_31,Ekeremor,SETNAME_12145433,Nearest GRID3 settlement-name point in same ward,2432.908005,Nearest-name assignment; manual review required,E0
SET_SET_2291,Dinefieama Gbene,Ward_25,Ekeremor,SETNAME_12152141,Nearest GRID3 settlement-name point in same ward,2426.017988,Nearest-name assignment; manual review required,E0
SET_SET_1,Ariware,Ward_86,Sagbama,SETNAME_12118555,Nearest GRID3 settlement-name point in same ward,2417.883843,Nearest-name assignment; manual review required,E0
SET_SET_1655,Deinnimugha,Ward_5,Ekeremor,SETNAME_12067049,Nearest GRID3 settlement-name point in same ward,2406.109232,Nearest-name assignment; manual review required,E0
SET_SET_11,Ayanmapou,Ward_86,Sagbama,SETNAME_12083220,Nearest GRID3 settlement-name point in same ward,2365.527033,Nearest-name assignment; manual review required,E0
SET_SET_1744,Bulou Adagbabiri,Ward_34,Ekeremor,SETNAME_12174401,Nearest GRID3 settlement-name point in same ward,2357.431974,Nearest-name assignment; manual review required,E0
SET_SET_292,Obuware,Ward_62,Sagbama,SETNAME_12154357,Nearest GRID3 settlement-name point in same ward,2352.798136,Nearest-name assignment; manual review required,E0
SET_SET_228,Ofubo Camp,Ward_93,Sagbama,SETNAME_12192001,Nearest GRID3 settlement-name point in same ward,2349.985926,Nearest-name assignment; manual review required,E0
SET_SET_2142,Gbagha Enikpoene,Ward_30,Ekeremor,SETNAME_12090568,Nearest GRID3 settlement-name point in same ward,2347.929638,Nearest-name assignment; manual review required,E0
SET_SET_298,Agbala Camp Seikeseiye,Ward_93,Sagbama,SETNAME_12108390,Nearest GRID3 settlement-name point in same ward,2345.195466,Nearest-name assignment; manual review required,E0
SET_SET_216,Saidem Camp Iii,Ward_83,Sagbama,SETNAME_12128078,Nearest GRID3 settlement-name point in same ward,2330.069042,Nearest-name assignment; manual review required,E0
SET_SET_1637,Agbaiyama,Ward_25,Ekeremor,SETNAME_12265145,Nearest GRID3 settlement-name point in same ward,2326.019716,Nearest-name assignment; manual review required,E0
SET_SET_2423,Opuadinon Gbene,Ward_25,Ekeremor,SETNAME_12282051,Nearest GRID3 settlement-name point in same ward,2313.99686,Nearest-name assignment; manual review required,E0
SET_SET_2230,Zizako Gbene,Ward_25,Ekeremor,SETNAME_12066343,Nearest GRID3 settlement-name point in same ward,2312.750843,Nearest-name assignment; manual review required,E0
SET_SET_481,Aboh Camp,Ward_83,Sagbama,SETNAME_12209696,Nearest GRID3 settlement-name point in same ward,2298.845101,Nearest-name assignment; manual review required,E0
SET_SET_1089,Korodeei Gbene,Ward_93,Sagbama,SETNAME_12142514,Nearest GRID3 settlement-name point in same ward,2297.823715,Nearest-name assignment; manual review required,E0
SET_SET_2242,Agbia Gbene I,Ward_30,Ekeremor,SETNAME_12274549,Nearest GRID3 settlement-name point in same ward,2286.011262,Nearest-name assignment; manual review required,E0
SET_SET_2262,Opuadinon Gbene,Ward_25,Ekeremor,SETNAME_12282051,Nearest GRID3 settlement-name point in same ward,2260.575066,Nearest-name assignment; manual review required,E0
SET_SET_1676,Tietiegbene,Ward_32,Ekeremor,SETNAME_12269355,Nearest GRID3 settlement-name point in same ward,2257.316808,Nearest-name assignment; manual review required,E0
SET_SET_1792,Binni Gbene,Ward_32,Ekeremor,SETNAME_12192638,Nearest GRID3 settlement-name point in same ward,2235.34914,Nearest-name assignment; manual review required,E0
SET_SET_2448,Tekiene Gbene,Ward_27,Ekeremor,SETNAME_12001234,Nearest GRID3 settlement-name point in same ward,2235.029794,Nearest-name assignment; manual review required,E0
SET_SET_2485,Tamo Ndoro,Ward_30,Ekeremor,SETNAME_12223083,Nearest GRID3 settlement-name point in same ward,2228.976817,Nearest-name assignment; manual review required,E0
SET_SET_2259,Opuadinon Gbene,Ward_25,Ekeremor,SETNAME_12282051,Nearest GRID3 settlement-name point in same ward,2228.82937,Nearest-name assignment; manual review required,E0
SET_SET_1893,Serina Gbene,Ward_25,Ekeremor,SETNAME_12123851,Nearest GRID3 settlement-name point in same ward,2216.514695,Nearest-name assignment; manual review required,E0
SET_SET_1644,Tamo Ndoro,Ward_30,Ekeremor,SETNAME_12223083,Nearest GRID3 settlement-name point in same ward,2212.484196,Nearest-name assignment; manual review required,E0
SET_SET_1726,Branyo Gbene,Ward_31,Ekeremor,SETNAME_12026410,Nearest GRID3 settlement-name point in same ward,2208.060756,Nearest-name assignment; manual review required,E0
SET_SET_1701,Atabai Gbene,Ward_27,Ekeremor,SETNAME_12154089,Nearest GRID3 settlement-name point in same ward,2191.421488,Nearest-name assignment; manual review required,E0
SET_SET_1590,Brimola Gbene I,Ward_23,Ekeremor,SETNAME_12083795,Nearest GRID3 settlement-name point in same ward,2190.749063,Nearest-name assignment; manual review required,E0
SET_SET_1728,Esamasuode Gbene,Ward_31,Ekeremor,SETNAME_12015969,Nearest GRID3 settlement-name point in same ward,2185.902784,Nearest-name assignment; manual review required,E0
SET_SET_2500,Ossiama,Ward_97,Sagbama,SETNAME_12242733,Nearest GRID3 settlement-name point in same ward,2181.471705,Nearest-name assignment; manual review required,E0
SET_SET_1791,Binni Gbene,Ward_32,Ekeremor,SETNAME_12192638,Nearest GRID3 settlement-name point in same ward,2161.6273,Nearest-name assignment; manual review required,E0
SET_SET_1783,Tumuke Ebigbene,Ward_25,Ekeremor,SETNAME_12220020,Nearest GRID3 settlement-name point in same ward,2133.812114,Nearest-name assignment; manual review required,E0
SET_SET_1870,Atasisi Gbene Tubu,Ward_25,Ekeremor,SETNAME_12119315,Nearest GRID3 settlement-name point in same ward,2117.582151,Nearest-name assignment; manual review required,E0
SET_SET_449,Korotimi Sere Gbene,Ward_97,Sagbama,SETNAME_12102710,Nearest GRID3 settlement-name point in same ward,2096.702806,Nearest-name assignment; manual review required,E0
SET_SET_1740,Yeyegbene,Ward_26,Ekeremor,SETNAME_12217098,Nearest GRID3 settlement-name point in same ward,2092.61148,Nearest-name assignment; manual review required,E0
SET_SET_1084,Tungbabiri,Ward_93,Sagbama,SETNAME_12254637,Nearest GRID3 settlement-name point in same ward,2088.590149,Nearest-name assignment; manual review required,E0
SET_SET_1724,Branyo Gbene,Ward_31,Ekeremor,SETNAME_12026410,Nearest GRID3 settlement-name point in same ward,2076.845144,Nearest-name assignment; manual review required,E0
SET_SET_43,Kemeseigha Gbene,Ward_78,Sagbama,SETNAME_12037246,Nearest GRID3 settlement-name point in same ward,2075.356642,Nearest-name assignment; manual review required,E0
SET_SET_413,Aban Gbene,Ward_60,Sagbama,SETNAME_12017924,Nearest GRID3 settlement-name point in same ward,2073.079065,Nearest-name assignment; manual review required,E0
